Year,CollegeCode,CollegeName,Branch,Category,Gender,CutoffRank
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,ECE,BC-B,M,120986
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,ECE,BC-B,F,120986
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,ECE,BC-C,M,111844
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,ECE,BC-C,F,111844
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,ECE,BC-D,M,120553
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,ECE,BC-D,F,128906
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,ECE,BC-E,M,129198
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,ECE,BC-E,F,129198
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,ECE,OC_EWS,M,112358
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,ECE,OC_EWS,F,129539
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,EEE,OC,M,130056
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,EEE,OC,F,130085
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,EEE,SC,M,130056
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,EEE,SC,F,130085
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,EEE,ST,M,130056
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,EEE,ST,F,130085
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,EEE,BC-A,M,130110
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,EEE,BC-A,F,130110
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,EEE,BC-B,M,130056
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,EEE,BC-B,F,130085
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,EEE,BC-D,M,130146
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,EEE,BC-D,F,130146
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,EEE,BC-E,M,130056
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,EEE,BC-E,F,130085
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,MEC,OC,M,89806
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,MEC,OC,F,105120
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,MEC,SC,M,128744
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,MEC,SC,F,128744
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,MEC,ST,M,115367
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,MEC,ST,F,115367
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,MEC,BC-A,M,89806
2019,ACEM,ADITYA COLLEGE OF ENGINEERING,MEC,BC-A,F,105120
